[soap-smoke] log file: /Users/ode1l/Documents/VSCode/NX-Cast/logs/dlna_soap_smoke-20260401-114636.log
[soap-smoke] target: http://192.168.1.7:49152
[soap-smoke] 1/6 SetAVTransportURI
[soap-smoke] 2/6 Play
[soap-smoke] check transport state == PLAYING
[soap-smoke] observe wait=1/45 state=TRANSITIONING rel=00:00:00 dur=00:00:00
[soap-smoke] observe wait=2/45 state=TRANSITIONING rel=00:00:00 dur=00:00:00
[soap-smoke] observe wait=3/45 state=TRANSITIONING rel=00:00:00 dur=00:00:00
[soap-smoke] observe wait=4/45 state=TRANSITIONING rel=00:00:00 dur=00:00:00
[soap-smoke] observe wait=5/45 state=TRANSITIONING rel=00:00:00 dur=00:00:00
[soap-smoke] observe wait=6/45 state=TRANSITIONING rel=00:00:00 dur=00:00:00
[soap-smoke] observe wait=7/45 state=TRANSITIONING rel=00:00:00 dur=00:00:00
[soap-smoke] observe wait=8/45 state=TRANSITIONING rel=00:00:00 dur=00:00:00
[soap-smoke] observe wait=9/45 state=TRANSITIONING rel=00:00:00 dur=00:00:00
[soap-smoke] observe wait=10/45 state=TRANSITIONING rel=00:00:00 dur=00:00:00
[soap-smoke] observe wait=11/45 state=TRANSITIONING rel=00:00:00 dur=00:00:00
[soap-smoke] observe wait=12/45 state=TRANSITIONING rel=00:00:00 dur=00:00:00
[soap-smoke] observe wait=13/45 state=TRANSITIONING rel=00:00:00 dur=00:00:00
[soap-smoke] observe wait=14/45 state=TRANSITIONING rel=00:00:00 dur=00:00:00
[soap-smoke] observe wait=15/45 state=TRANSITIONING rel=00:00:00 dur=00:00:00
[soap-smoke] observe wait=16/45 state=TRANSITIONING rel=00:00:00 dur=00:00:00
[soap-smoke] observe wait=17/45 state=TRANSITIONING rel=00:00:00 dur=00:00:00
[soap-smoke] observe wait=18/45 state=TRANSITIONING rel=00:00:00 dur=00:00:00
[soap-smoke] observe wait=19/45 state=TRANSITIONING rel=00:00:00 dur=00:00:00
[soap-smoke] observe wait=20/45 state=TRANSITIONING rel=00:00:00 dur=00:00:00
[soap-smoke] observe wait=21/45 state=TRANSITIONING rel=00:00:00 dur=00:00:00
[soap-smoke] observe wait=22/45 state=TRANSITIONING rel=00:00:00 dur=00:00:00
[soap-smoke] observe wait=23/45 state=TRANSITIONING rel=00:00:00 dur=00:00:00
[soap-smoke] observe wait=24/45 state=TRANSITIONING rel=00:00:00 dur=00:00:00
[soap-smoke] observe wait=25/45 state=TRANSITIONING rel=00:00:00 dur=00:00:00
[soap-smoke] observe wait=26/45 state=TRANSITIONING rel=00:00:00 dur=00:00:00
[soap-smoke] observe wait=27/45 state=TRANSITIONING rel=00:00:00 dur=00:00:00
[soap-smoke] observe wait=28/45 state=TRANSITIONING rel=00:00:00 dur=00:00:00
[soap-smoke] observe wait=29/45 state=TRANSITIONING rel=00:00:00 dur=00:00:00
[soap-smoke] observe wait=30/45 state=TRANSITIONING rel=00:00:00 dur=00:00:00
[soap-smoke] observe wait=31/45 state=TRANSITIONING rel=00:00:00 dur=00:00:00
[soap-smoke] observe wait=32/45 state=TRANSITIONING rel=00:00:00 dur=00:00:00
[soap-smoke] observe wait=33/45 state=TRANSITIONING rel=00:00:00 dur=00:00:00
[soap-smoke] observe wait=34/45 state=TRANSITIONING rel=00:00:00 dur=00:00:00
[soap-smoke] observe wait=35/45 state=TRANSITIONING rel=00:00:00 dur=00:00:00
[soap-smoke] observe wait=36/45 state=TRANSITIONING rel=00:00:00 dur=00:00:00
[soap-smoke] observe wait=37/45 state=TRANSITIONING rel=00:00:00 dur=00:00:00
[soap-smoke] observe wait=38/45 state=TRANSITIONING rel=00:00:00 dur=00:00:00
[soap-smoke] observe wait=39/45 state=TRANSITIONING rel=00:00:00 dur=00:00:00
[soap-smoke] observe wait=40/45 state=TRANSITIONING rel=00:00:00 dur=00:00:00
[soap-smoke] observe wait=41/45 state=TRANSITIONING rel=00:00:00 dur=00:00:00
[soap-smoke] observe wait=42/45 state=TRANSITIONING rel=00:00:00 dur=00:00:00
[soap-smoke] observe wait=43/45 state=TRANSITIONING rel=00:00:00 dur=00:00:00
[soap-smoke] observe wait=44/45 state=TRANSITIONING rel=00:00:00 dur=00:00:00
[soap-smoke] observe wait=45/45 state=TRANSITIONING rel=00:00:00 dur=00:00:00
[soap-smoke] ERROR: transport state did not reach PLAYING within 45s
[soap-smoke] log saved: /Users/ode1l/Documents/VSCode/NX-Cast/logs/dlna_soap_smoke-20260401-114636.log
